image_path,shape_area,shape_perimeter,shape_circularity,shape_eccentricity,shape_solidity,shape_extent,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,rgb_r_mean,rgb_r_std,rgb_g_mean,rgb_g_std,rgb_b_mean,rgb_b_std,hsv_h_mean,hsv_h_std,hsv_s_mean,hsv_s_std,hsv_v_mean,hsv_v_std,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9,split,original_class
data/processed/val/rotten/rottenoranges_34cf86191dec.png,63902.0,1214.8944420814514,0.5440605352083291,0.23372826810695457,0.975067138671875,0.975067138671875,-0.7713276728868756,-4.645815280615108,-5.278561445005664,-6.726716854917358,-11.953846490216621,-9.197001923533975,11.939675982118937,205.13115395449282,37.06776853493186,173.6878188476104,48.588953890207364,140.84133516947827,69.76661289213007,17.468138712403366,7.204739804278469,83.81729836311852,70.04999175702615,205.1705110951144,37.013949501328206,0.3667334009947435,0.9108313236003749,0.39416776705626055,0.9371609219287798,0.029200963976088384,0.04362930737692091,0.03646208256392601,0.09124910018465776,0.1603705674313793,0.18113674063409596,0.06608556852680668,0.06359738349347438,0.25033645269318644,0.07793183311946418,val,rottenoranges
data/processed/val/fresh/freshapples_bb62e4aaa349.png,50632.0,987.9137791395187,0.6519238369971803,0.24624582924580307,0.9615253142922253,0.8172778925619835,-0.773501462510418,-4.556845583273201,-3.3047165002095573,-4.9059427211127575,-9.332113501130992,-7.188002048973961,9.066738179558769,190.47643782588088,73.32743996469472,126.9299257386633,67.71703277184494,98.73615500079002,60.89068652086862,9.532686838363091,11.301424228354017,110.30233844209195,68.58637998363697,190.48277768999841,73.32938394648413,0.47687386107375085,0.9425282511531287,0.3877483648202549,0.9562605238563084,0.007406383314899668,0.014457260230684152,0.011534207615737084,0.12543450782114077,0.3141689050402907,0.27356217411913414,0.06517617317111708,0.02767024806446516,0.1382327381892874,0.022357402433243797,val,freshapples
data/processed/val/rotten/rottenapples_782f4cdee409.png,25610.0,688.2985504865646,0.6793064411591277,0.6143784096173738,0.9399544887322909,0.7749334301621883,-0.7792986213931957,-2.8252438407947875,-4.062294015681316,-5.576284075237308,-10.565564826478019,-7.235670933623167,-10.501399850043542,180.2877391643889,47.711078369943344,114.4438110113237,50.28722253082832,94.8022647403358,47.169054123165324,35.1031628270207,60.6296750352285,125.159351815697,41.16641054897724,180.29566575556424,47.70576109342825,0.9754549178281526,0.9055760543815337,0.357962985172456,0.878289402489197,0.016165560327996875,0.03768059351815697,0.029441624365482234,0.12100741897696213,0.3818820773135494,0.2227254978524014,0.07051932838734869,0.03853963295587661,0.034244435767278404,0.04779383053494728,val,rottenapples
data/processed/val/rotten/rottenapples_baa09d9a7c73.png,32925.0,729.8965294361115,0.7766280109680702,0.46022245852946203,0.9659107577668906,0.7670533967011463,-0.7869201454569735,-3.4267989499410447,-3.714602447694515,-5.64441384042086,10.921022536159791,7.928309777442351,10.326602035116206,240.72683371298405,20.21523151465333,198.60246013667427,45.93462774246087,143.68121488230827,47.57909612631977,18.953895216400912,15.118231098733343,104.95744874715263,44.76666286813295,240.7314806378132,20.215616042463207,0.7621810604670644,0.9550862963578145,0.4436380712129323,0.9468848586968015,0.016492027334851937,0.038542141230068334,0.021776765375854216,0.12097190584662111,0.24525436598329536,0.2249050873196659,0.08574031890660593,0.0690053151100987,0.10858010630220197,0.06873196659073652,val,rottenapples
data/processed/val/rotten/rottenbanana_c79d67624bb1.png,18669.0,763.3523732423782,0.40260651598085784,0.8782455175640806,0.6534934192103052,0.4197922288181328,-0.4999590070131375,-1.4043352254723034,-1.8940392264541002,-2.6289854550105387,5.721978292916199,3.8265068418206223,-4.895268158964447,113.67164818683379,49.51072366306338,103.228132197761,49.17035367132683,100.63592050993626,49.21311518360299,71.73426535968719,73.51041830926255,38.204028067920085,24.152039371236935,114.30269430606889,49.5294308740791,0.7935959935791224,0.9051770301363431,0.5889847313889058,0.8665435663036168,0.04692270609031014,0.07081257699930366,0.05656435802667524,0.12148481439820022,0.25780705983180674,0.14521399110825434,0.07670469762708233,0.06899137607799025,0.06036745406824147,0.09513096577213563,val,rottenbanana
data/processed/val/rotten/rottenoranges_46c1c6e92255.png,61210.0,1240.0903998613358,0.5001791137054755,0.3847198795281256,0.933990478515625,0.933990478515625,-0.7623862632287879,-3.719471574686649,-4.192496496293096,-5.196436190947976,9.979596523662131,7.0964122434866,-10.11445860069289,159.37918640744977,91.05650172743776,97.6322169580134,65.96822596219181,79.79941186080706,63.24495380643757,21.87240646953112,39.847745990890424,117.27255350432935,78.86593837484637,163.59928116320862,86.64279284987028,0.41417732895287285,0.9231430604834675,0.38312158335769303,0.9535770579792427,0.011681097859826826,0.023394870119261557,0.026319228884169252,0.1124326090508087,0.3362032347655612,0.17711158307466102,0.05422316614932201,0.026972716876327397,0.1947884332625388,0.03687305995752328,val,rottenoranges
data/processed/val/fresh/freshoranges_477ac136ea4b.png,43286.0,817.7543947696686,0.8134138175884695,0.6249548686916675,0.9766696750902527,0.7706523287281014,-0.7761960003513744,-2.782342324221862,-3.7094321439401488,-5.098579211282834,-9.764606726817458,-6.996102165261103,-9.577071148124684,223.5046666358638,20.291404187285618,149.36720879730166,37.75911089374265,92.09825347687475,61.0641972481071,20.96908931294183,37.4298211754459,148.90347918495587,71.81004102979509,223.50492075959895,20.291368833117506,0.5036419817004276,0.943724818854057,0.4251963190008873,0.9454846709144199,0.02356420089636372,0.051194381555237256,0.042184540036039365,0.11655038580603429,0.2216652035300097,0.23377073418657301,0.09538880931479,0.055075544055814815,0.06838238691493785,0.09222381370419998,val,freshoranges
data/processed/val/fresh/freshapples_45c164bf0d5a.png,40790.0,1015.4945089817047,0.497059536495976,0.6562334508299756,0.8847580417760232,0.7081597222222222,-0.7525255086491945,-2.6282614217255222,-3.237510993997126,-4.60679543162701,-8.633044698095677,-6.764579845882296,8.738040804025907,163.33066928168668,57.274462530599976,177.34118656533465,59.0992758885876,97.40159352782544,54.44932744795242,32.182520225545474,15.020014543744228,110.37467516548173,54.47421301213238,177.43564599166461,59.10185393689142,0.6352963767632958,0.9451278017090039,0.44658517481057314,0.951647539718661,0.02078940916891395,0.034175042902672224,0.029468006864427555,0.14150527089973033,0.25177739642069136,0.17631772493258152,0.08215248835498896,0.05923020348124541,0.1464574650649669,0.05812699190978181,val,freshapples
data/processed/val/rotten/rottenoranges_6a29211644d4.png,39476.0,1039.7127641439438,0.4588980930505193,0.6716665167424103,0.9064523536165328,0.771015625,-0.7441738001119726,-2.5597594267260457,-3.1141021241311115,-4.183221793880811,-7.861148844288356,-5.468009703986618,8.281252753892275,175.66607559023203,86.78541982583928,151.98163441078123,88.99851475649842,133.94064748201438,92.28895925094328,18.824450298915796,22.916416829738136,61.66088256155639,71.99478764916704,177.42831087242882,86.4165372930206,0.7293380246147526,0.9257494691426176,0.4529116293877465,0.9576267459401484,0.015756408957341168,0.036300537035160604,0.03265275103860574,0.11148545951970817,0.22560543114803933,0.1795774647887324,0.06429222818927956,0.04871314216232648,0.22616273178640187,0.0594538453744047,val,rottenoranges
data/processed/val/fresh/freshoranges_00a9c8db567d.png,46357.0,816.3401806354523,0.8741437170360078,0.5631937670589043,0.9922940257293918,0.8087686241669284,-0.7865927617883405,-3.0226257675995214,-4.0216613159886245,-5.720833183831042,-10.690373768887783,-7.503506590475715,-10.752652186048568,217.48463015294345,25.135437992827967,148.40222620100525,33.06781490319601,79.79621200681666,52.72088466736254,16.069525637983475,17.36749776506681,160.1747308928533,64.05897259666051,217.50630972668637,25.10192326147444,0.453262991670626,0.9476119243681251,0.4531518140052506,0.9423046863757334,0.024074034126453394,0.05082296093362383,0.04064111137476541,0.12731626291606446,0.23683586081929375,0.20790819078024894,0.09698643139115991,0.06022822874646763,0.06842548050995535,0.08676143840196734,val,freshoranges
